,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
79,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,0-apple,4-apple,0-apple,3-samsung,4-apple,4-apple,,,,,
80,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,0-apple,4-apple,4-apple,3-samsung,4-apple,4-apple,,,,,
81,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,0-apple,4-apple,4-apple,3-samsung,4-apple,,,,,,
82,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,3-samsung,3-samsung,0-apple,4-apple,4-apple,3-samsung,4-apple,,,,,,
83,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,0-apple,4-apple,4-apple,3-samsung,4-apple,,,,,,
84,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,0-apple,4-apple,4-apple,3-samsung,4-apple,,,,,,
85,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,0-apple,4-apple,4-apple,3-samsung,4-apple,,,,,,
86,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,0-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
87,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,0-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
88,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,0-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
89,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,0-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
90,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,4-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,0-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
91,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,4-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,0-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
92,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,4-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,4-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
93,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,3-samsung,4-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,3-samsung,4-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
94,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,3-samsung,3-samsung,4-apple,0-apple,0-apple,3-samsung,4-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
95,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,3-samsung,3-samsung,4-apple,0-apple,0-apple,3-samsung,4-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
96,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,3-samsung,3-samsung,4-apple,0-apple,0-apple,3-samsung,4-apple,4-apple,4-apple,4-apple,4-apple,,,,,,
97,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,3-samsung,3-samsung,4-apple,0-apple,0-apple,3-samsung,4-apple,,4-apple,4-apple,4-apple,,,,,,
98,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,3-samsung,3-samsung,4-apple,0-apple,0-apple,3-samsung,4-apple,,4-apple,4-apple,4-apple,,,,,,
99,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,3-samsung,3-samsung,4-apple,0-apple,0-apple,3-samsung,4-apple,,4-apple,4-apple,4-apple,,,,,,
100,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,3-samsung,3-samsung,4-apple,0-apple,0-apple,3-samsung,4-apple,,4-apple,4-apple,4-apple,,,,,,
101,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,3-samsung,4-apple,4-apple,4-apple,0-apple,3-samsung,4-apple,,4-apple,4-apple,4-apple,,,,,,
102,,,,,4-apple,3-samsung,4-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,3-samsung,4-apple,4-apple,4-apple,0-apple,3-samsung,4-apple,,4-apple,4-apple,4-apple,,,,,,
